2024-04-16 12:08:17 INFO     epoch (index_dataloader/dataloader_len), loss_value.item(), epoch_losses.mean()
2024-04-16 13:35:52 INFO     train: 0 (479/2500), 492.7551574707031, 3409.929235458374
2024-04-16 13:37:20 INFO     train: 0 (487/2500), 345.20733642578125, 3361.33135123331
2024-04-16 13:38:47 INFO     train: 0 (495/2500), 339.23968505859375, 3314.8963987288935
2024-04-16 13:40:16 INFO     train: 0 (503/2500), 959.6895751953125, 3270.9656045701768
2024-04-16 13:41:46 INFO     train: 0 (511/2500), 545.6218872070312, 3234.7306522727013
2024-04-16 13:43:15 INFO     train: 0 (519/2500), 416.2002868652344, 3192.9128868689904
2024-04-16 13:44:45 INFO     train: 0 (527/2500), 473.81256103515625, 3152.721542473995
2024-04-16 13:46:15 INFO     train: 0 (535/2500), 445.0646667480469, 3113.0615454716467
2024-04-16 13:47:45 INFO     train: 0 (543/2500), 585.0277099609375, 3074.9154984530282
2024-04-16 13:49:15 INFO     train: 0 (551/2500), 735.6572875976562, 3038.4228167326555
2024-04-16 13:50:44 INFO     train: 0 (559/2500), 406.54132080078125, 3001.8751271384103
2024-04-16 13:52:14 INFO     train: 0 (567/2500), 544.219970703125, 2966.898019602601
2024-04-16 13:53:44 INFO     train: 0 (575/2500), 403.92578125, 2933.008052190145
2024-04-16 13:55:14 INFO     train: 0 (583/2500), 633.6382446289062, 2899.5756735083173
2024-04-16 13:56:43 INFO     train: 0 (591/2500), 498.3756103515625, 2869.7366792317985
2024-04-16 13:58:13 INFO     train: 0 (599/2500), 386.0497741699219, 2838.36174021403
2024-04-16 13:59:43 INFO     train: 0 (607/2500), 352.4233093261719, 2808.8055947956286
2024-04-16 14:01:13 INFO     train: 0 (615/2500), 426.6070251464844, 2778.11326237468
2024-04-16 14:02:43 INFO     train: 0 (623/2500), 406.8046875, 2748.5501955472505
2024-04-16 14:04:12 INFO     train: 0 (631/2500), 431.565185546875, 2718.9932413704787
2024-04-16 14:05:41 INFO     train: 0 (639/2500), 533.3543701171875, 2691.3523665905
2024-04-16 14:07:11 INFO     train: 0 (647/2500), 537.3516845703125, 2663.2236018239714
2024-04-16 14:08:41 INFO     train: 0 (655/2500), 483.9976806640625, 2637.7930996127243
2024-04-16 14:10:11 INFO     train: 0 (663/2500), 313.02667236328125, 2611.1036896763076
2024-04-16 14:11:41 INFO     train: 0 (671/2500), 662.8057250976562, 2585.0442943573
2024-04-16 14:13:11 INFO     train: 0 (679/2500), 443.2138671875, 2561.570332336426
2024-04-16 14:14:40 INFO     train: 0 (687/2500), 484.9068603515625, 2537.196658955064
2024-04-16 14:16:09 INFO     train: 0 (695/2500), 360.585205078125, 2512.6337528009526
2024-04-16 14:17:38 INFO     train: 0 (703/2500), 342.8187255859375, 2488.1840559352527
2024-04-16 14:19:07 INFO     train: 0 (711/2500), 1534.8446044921875, 2466.933884567089
2024-04-16 14:20:35 INFO     train: 0 (719/2500), 371.86883544921875, 2445.210902955797
2024-04-16 14:22:04 INFO     train: 0 (727/2500), 408.2216796875, 2422.790444258805
2024-04-16 14:23:33 INFO     train: 0 (735/2500), 594.5240478515625, 2401.055437170941
2024-04-16 14:25:02 INFO     train: 0 (743/2500), 501.75299072265625, 2380.124106745566
